Training data torch.Size([100000, 2])
MLP with one hidden layer, 3 perceptrons, L2 loss, SGD optimizer, no dropout, 10 epochs.
Test accuracy before: 0.49655
Epoch (132, 2), loss = 0.45, validation accuracy = 0.52
Epoch (133, 2), loss = 0.45, validation accuracy = 0.52
Epoch (134, 2), loss = 0.45, validation accuracy = 0.52
Epoch (135, 2), loss = 0.45, validation accuracy = 0.52
Epoch (136, 2), loss = 0.45, validation accuracy = 0.52
Epoch (137, 2), loss = 0.45, validation accuracy = 0.52
Epoch (138, 2), loss = 0.45, validation accuracy = 0.52
Epoch (139, 2), loss = 0.45, validation accuracy = 0.52
Epoch (140, 2), loss = 0.45, validation accuracy = 0.52
Epoch (141, 2), loss = 0.45, validation accuracy = 0.52
Epoch (142, 2), loss = 0.45, validation accuracy = 0.52
Epoch (143, 2), loss = 0.45, validation accuracy = 0.52
Epoch (144, 2), loss = 0.449, validation accuracy = 0.52
Epoch (145, 2), loss = 0.449, validation accuracy = 0.52
Epoch (146, 2), loss = 0.449, validation accuracy = 0.52
Epoch (147, 2), loss = 0.449, validation accuracy = 0.52
Epoch (148, 2), loss = 0.449, validation accuracy = 0.52
Epoch (149, 2), loss = 0.449, validation accuracy = 0.52
Epoch (150, 2), loss = 0.449, validation accuracy = 0.52
Epoch (151, 2), loss = 0.449, validation accuracy = 0.52
Epoch (152, 2), loss = 0.449, validation accuracy = 0.52
Epoch (153, 2), loss = 0.449, validation accuracy = 0.52
Epoch (154, 2), loss = 0.449, validation accuracy = 0.52
Epoch (155, 2), loss = 0.449, validation accuracy = 0.52
Epoch (156, 2), loss = 0.449, validation accuracy = 0.52
Epoch (157, 2), loss = 0.449, validation accuracy = 0.52
Epoch (158, 2), loss = 0.449, validation accuracy = 0.52
Epoch (159, 2), loss = 0.449, validation accuracy = 0.52
Epoch (160, 2), loss = 0.449, validation accuracy = 0.52
Epoch (161, 2), loss = 0.449, validation accuracy = 0.52
Epoch (162, 2), loss = 0.449, validation accuracy = 0.52
Epoch (163, 2), loss = 0.449, validation accuracy = 0.52
Epoch (164, 2), loss = 0.449, validation accuracy = 0.52
Epoch (165, 2), loss = 0.449, validation accuracy = 0.52
Epoch (166, 2), loss = 0.448, validation accuracy = 0.52
Epoch (167, 2), loss = 0.448, validation accuracy = 0.52
Epoch (168, 2), loss = 0.448, validation accuracy = 0.52
Epoch (169, 2), loss = 0.448, validation accuracy = 0.52
Epoch (170, 2), loss = 0.448, validation accuracy = 0.52
Epoch (171, 2), loss = 0.448, validation accuracy = 0.52
Epoch (172, 2), loss = 0.448, validation accuracy = 0.52
Epoch (173, 2), loss = 0.448, validation accuracy = 0.52
Epoch (174, 2), loss = 0.448, validation accuracy = 0.52
Epoch (175, 2), loss = 0.448, validation accuracy = 0.52
Epoch (176, 2), loss = 0.448, validation accuracy = 0.52
Epoch (177, 2), loss = 0.448, validation accuracy = 0.52
Epoch (178, 2), loss = 0.448, validation accuracy = 0.52
Epoch (179, 2), loss = 0.448, validation accuracy = 0.52
Epoch (180, 2), loss = 0.448, validation accuracy = 0.52
Epoch (181, 2), loss = 0.448, validation accuracy = 0.52
Epoch (182, 2), loss = 0.448, validation accuracy = 0.52
Epoch (183, 2), loss = 0.448, validation accuracy = 0.52
Epoch (184, 2), loss = 0.448, validation accuracy = 0.52
Epoch (185, 2), loss = 0.448, validation accuracy = 0.52
Epoch (186, 2), loss = 0.448, validation accuracy = 0.52
Epoch (187, 2), loss = 0.448, validation accuracy = 0.52
Epoch (188, 2), loss = 0.447, validation accuracy = 0.52
Epoch (189, 2), loss = 0.447, validation accuracy = 0.52
Epoch (190, 2), loss = 0.447, validation accuracy = 0.52
Epoch (191, 2), loss = 0.447, validation accuracy = 0.52
Epoch (192, 2), loss = 0.447, validation accuracy = 0.52
Epoch (193, 2), loss = 0.447, validation accuracy = 0.52
Epoch (194, 2), loss = 0.447, validation accuracy = 0.52
Epoch (195, 2), loss = 0.447, validation accuracy = 0.52
Epoch (196, 2), loss = 0.447, validation accuracy = 0.52
Epoch (197, 2), loss = 0.447, validation accuracy = 0.52
Epoch (198, 2), loss = 0.447, validation accuracy = 0.52
Epoch (199, 2), loss = 0.447, validation accuracy = 0.52
Epoch (200, 2), loss = 0.447, validation accuracy = 0.52
Epoch (201, 2), loss = 0.447, validation accuracy = 0.52
Epoch (202, 2), loss = 0.447, validation accuracy = 0.52
Epoch (203, 2), loss = 0.447, validation accuracy = 0.52
Epoch (204, 2), loss = 0.447, validation accuracy = 0.52
Epoch (205, 2), loss = 0.447, validation accuracy = 0.52
Epoch (206, 2), loss = 0.447, validation accuracy = 0.52
Epoch (207, 2), loss = 0.447, validation accuracy = 0.52
Epoch (208, 2), loss = 0.447, validation accuracy = 0.52
Epoch (209, 2), loss = 0.446, validation accuracy = 0.52
Epoch (210, 2), loss = 0.446, validation accuracy = 0.52
Epoch (211, 2), loss = 0.446, validation accuracy = 0.52
Epoch (212, 2), loss = 0.446, validation accuracy = 0.52
Epoch (213, 2), loss = 0.446, validation accuracy = 0.52
Epoch (214, 2), loss = 0.446, validation accuracy = 0.52
Epoch (215, 2), loss = 0.446, validation accuracy = 0.52
Epoch (216, 2), loss = 0.446, validation accuracy = 0.52
Epoch (217, 2), loss = 0.446, validation accuracy = 0.52
Epoch (218, 2), loss = 0.446, validation accuracy = 0.52
Epoch (219, 2), loss = 0.446, validation accuracy = 0.52
Epoch (220, 2), loss = 0.446, validation accuracy = 0.52
Epoch (221, 2), loss = 0.446, validation accuracy = 0.52
Epoch (222, 2), loss = 0.446, validation accuracy = 0.52
Epoch (223, 2), loss = 0.446, validation accuracy = 0.52
Epoch (224, 2), loss = 0.446, validation accuracy = 0.52
Epoch (225, 2), loss = 0.446, validation accuracy = 0.52
Epoch (226, 2), loss = 0.446, validation accuracy = 0.52
Epoch (227, 2), loss = 0.446, validation accuracy = 0.52
Epoch (228, 2), loss = 0.446, validation accuracy = 0.52
Epoch (229, 2), loss = 0.446, validation accuracy = 0.52
Epoch (230, 2), loss = 0.445, validation accuracy = 0.52
Epoch (231, 2), loss = 0.445, validation accuracy = 0.52
Epoch (232, 2), loss = 0.445, validation accuracy = 0.52
Epoch (233, 2), loss = 0.445, validation accuracy = 0.52
Epoch (234, 2), loss = 0.445, validation accuracy = 0.52
Epoch (235, 2), loss = 0.445, validation accuracy = 0.52
Epoch (236, 2), loss = 0.445, validation accuracy = 0.52
Epoch (237, 2), loss = 0.445, validation accuracy = 0.52
Epoch (238, 2), loss = 0.445, validation accuracy = 0.52
Epoch (239, 2), loss = 0.445, validation accuracy = 0.52
Epoch (240, 2), loss = 0.445, validation accuracy = 0.52
Epoch (241, 2), loss = 0.445, validation accuracy = 0.52
Epoch (242, 2), loss = 0.445, validation accuracy = 0.52
Epoch (243, 2), loss = 0.445, validation accuracy = 0.52
Epoch (244, 2), loss = 0.445, validation accuracy = 0.52
Epoch (245, 2), loss = 0.445, validation accuracy = 0.52
Epoch (246, 2), loss = 0.445, validation accuracy = 0.52
Epoch (247, 2), loss = 0.445, validation accuracy = 0.52
Epoch (248, 2), loss = 0.445, validation accuracy = 0.52
Epoch (249, 2), loss = 0.445, validation accuracy = 0.52
Epoch (250, 2), loss = 0.444, validation accuracy = 0.52
Epoch (251, 2), loss = 0.444, validation accuracy = 0.52
Epoch (252, 2), loss = 0.444, validation accuracy = 0.52
Epoch (253, 2), loss = 0.444, validation accuracy = 0.52
Epoch (254, 2), loss = 0.444, validation accuracy = 0.52
Epoch (255, 2), loss = 0.444, validation accuracy = 0.52
Epoch (256, 2), loss = 0.444, validation accuracy = 0.52
Epoch (257, 2), loss = 0.444, validation accuracy = 0.52
Epoch (258, 2), loss = 0.444, validation accuracy = 0.52
Epoch (259, 2), loss = 0.444, validation accuracy = 0.52
Epoch (260, 2), loss = 0.444, validation accuracy = 0.52
Epoch (261, 2), loss = 0.444, validation accuracy = 0.52
Epoch (262, 2), loss = 0.444, validation accuracy = 0.52
Epoch (263, 2), loss = 0.444, validation accuracy = 0.52
Epoch (264, 2), loss = 0.444, validation accuracy = 0.52
Epoch (265, 2), loss = 0.444, validation accuracy = 0.52
Epoch (266, 2), loss = 0.444, validation accuracy = 0.52
Epoch (267, 2), loss = 0.444, validation accuracy = 0.52
Epoch (268, 2), loss = 0.444, validation accuracy = 0.52
Epoch (269, 2), loss = 0.444, validation accuracy = 0.52
Epoch (270, 2), loss = 0.443, validation accuracy = 0.52
Epoch (271, 2), loss = 0.443, validation accuracy = 0.52
Epoch (272, 2), loss = 0.443, validation accuracy = 0.52
Epoch (273, 2), loss = 0.443, validation accuracy = 0.52
Epoch (274, 2), loss = 0.443, validation accuracy = 0.52
Epoch (275, 2), loss = 0.443, validation accuracy = 0.52
Epoch (276, 2), loss = 0.443, validation accuracy = 0.52
Epoch (277, 2), loss = 0.443, validation accuracy = 0.52
Epoch (278, 2), loss = 0.443, validation accuracy = 0.52
Epoch (279, 2), loss = 0.443, validation accuracy = 0.52
Epoch (280, 2), loss = 0.443, validation accuracy = 0.52
Epoch (281, 2), loss = 0.443, validation accuracy = 0.52
Epoch (282, 2), loss = 0.443, validation accuracy = 0.52
Epoch (283, 2), loss = 0.443, validation accuracy = 0.52
Epoch (284, 2), loss = 0.443, validation accuracy = 0.52
Epoch (285, 2), loss = 0.443, validation accuracy = 0.52
Epoch (286, 2), loss = 0.443, validation accuracy = 0.52
Epoch (287, 2), loss = 0.443, validation accuracy = 0.52
Epoch (288, 2), loss = 0.443, validation accuracy = 0.52
Epoch (289, 2), loss = 0.442, validation accuracy = 0.52
Epoch (290, 2), loss = 0.442, validation accuracy = 0.52
Epoch (291, 2), loss = 0.442, validation accuracy = 0.52
Epoch (292, 2), loss = 0.442, validation accuracy = 0.52
Epoch (293, 2), loss = 0.442, validation accuracy = 0.52
Epoch (294, 2), loss = 0.442, validation accuracy = 0.52
Epoch (295, 2), loss = 0.442, validation accuracy = 0.52
Epoch (296, 2), loss = 0.442, validation accuracy = 0.52
Epoch (297, 2), loss = 0.442, validation accuracy = 0.52
Epoch (298, 2), loss = 0.442, validation accuracy = 0.52
Epoch (299, 2), loss = 0.442, validation accuracy = 0.52
Epoch (300, 2), loss = 0.442, validation accuracy = 0.52
Epoch (301, 2), loss = 0.442, validation accuracy = 0.52
Epoch (302, 2), loss = 0.442, validation accuracy = 0.52
Epoch (303, 2), loss = 0.442, validation accuracy = 0.52
Epoch (304, 2), loss = 0.442, validation accuracy = 0.52
Epoch (305, 2), loss = 0.442, validation accuracy = 0.52
Epoch (306, 2), loss = 0.442, validation accuracy = 0.52
Epoch (307, 2), loss = 0.442, validation accuracy = 0.52
Epoch (308, 2), loss = 0.441, validation accuracy = 0.52
Epoch (309, 2), loss = 0.441, validation accuracy = 0.52
Epoch (310, 2), loss = 0.441, validation accuracy = 0.52
Epoch (311, 2), loss = 0.441, validation accuracy = 0.52
Epoch (312, 2), loss = 0.441, validation accuracy = 0.52
Epoch (313, 2), loss = 0.441, validation accuracy = 0.52
Epoch (314, 2), loss = 0.441, validation accuracy = 0.52
Epoch (315, 2), loss = 0.441, validation accuracy = 0.52
Epoch (316, 2), loss = 0.441, validation accuracy = 0.52
Epoch (317, 2), loss = 0.441, validation accuracy = 0.52
Epoch (318, 2), loss = 0.441, validation accuracy = 0.52
Epoch (319, 2), loss = 0.441, validation accuracy = 0.52
Epoch (320, 2), loss = 0.441, validation accuracy = 0.52
Epoch (321, 2), loss = 0.441, validation accuracy = 0.52
Epoch (322, 2), loss = 0.441, validation accuracy = 0.52
Epoch (323, 2), loss = 0.441, validation accuracy = 0.52
Epoch (324, 2), loss = 0.441, validation accuracy = 0.52
Epoch (325, 2), loss = 0.441, validation accuracy = 0.52
Epoch (326, 2), loss = 0.44, validation accuracy = 0.52
Epoch (327, 2), loss = 0.44, validation accuracy = 0.52
Epoch (328, 2), loss = 0.44, validation accuracy = 0.52
Epoch (329, 2), loss = 0.44, validation accuracy = 0.52
Epoch (330, 2), loss = 0.44, validation accuracy = 0.52
Epoch (331, 2), loss = 0.44, validation accuracy = 0.52
Epoch (332, 2), loss = 0.44, validation accuracy = 0.52
Epoch (333, 2), loss = 0.44, validation accuracy = 0.52
Epoch (334, 2), loss = 0.44, validation accuracy = 0.52
Epoch (335, 2), loss = 0.44, validation accuracy = 0.52
Epoch (336, 2), loss = 0.44, validation accuracy = 0.52
Epoch (337, 2), loss = 0.44, validation accuracy = 0.52
Epoch (338, 2), loss = 0.44, validation accuracy = 0.52
Epoch (339, 2), loss = 0.44, validation accuracy = 0.52
Epoch (340, 2), loss = 0.44, validation accuracy = 0.52
Epoch (341, 2), loss = 0.44, validation accuracy = 0.52
Epoch (342, 2), loss = 0.44, validation accuracy = 0.52
Epoch (343, 2), loss = 0.439, validation accuracy = 0.52
Epoch (344, 2), loss = 0.439, validation accuracy = 0.52
Epoch (345, 2), loss = 0.439, validation accuracy = 0.52
Epoch (346, 2), loss = 0.439, validation accuracy = 0.53
Epoch (347, 2), loss = 0.439, validation accuracy = 0.53
Epoch (348, 2), loss = 0.439, validation accuracy = 0.53
Epoch (349, 2), loss = 0.439, validation accuracy = 0.53
Epoch (350, 2), loss = 0.439, validation accuracy = 0.53
Epoch (351, 2), loss = 0.439, validation accuracy = 0.53
Epoch (352, 2), loss = 0.439, validation accuracy = 0.53
Epoch (353, 2), loss = 0.439, validation accuracy = 0.53
Epoch (354, 2), loss = 0.439, validation accuracy = 0.53
Epoch (355, 2), loss = 0.439, validation accuracy = 0.53
Epoch (356, 2), loss = 0.439, validation accuracy = 0.53
Epoch (357, 2), loss = 0.439, validation accuracy = 0.53
Epoch (358, 2), loss = 0.439, validation accuracy = 0.53
Epoch (359, 2), loss = 0.439, validation accuracy = 0.53
Epoch (360, 2), loss = 0.439, validation accuracy = 0.53
Epoch (361, 2), loss = 0.438, validation accuracy = 0.53
Epoch (362, 2), loss = 0.438, validation accuracy = 0.53
Epoch (363, 2), loss = 0.438, validation accuracy = 0.53
Epoch (364, 2), loss = 0.438, validation accuracy = 0.53
Epoch (365, 2), loss = 0.438, validation accuracy = 0.53
Epoch (366, 2), loss = 0.438, validation accuracy = 0.53
Epoch (367, 2), loss = 0.438, validation accuracy = 0.53
Epoch (368, 2), loss = 0.438, validation accuracy = 0.53
Epoch (369, 2), loss = 0.438, validation accuracy = 0.53
Epoch (370, 2), loss = 0.438, validation accuracy = 0.53
Epoch (371, 2), loss = 0.438, validation accuracy = 0.53
Epoch (372, 2), loss = 0.438, validation accuracy = 0.53
Epoch (373, 2), loss = 0.438, validation accuracy = 0.53
Epoch (374, 2), loss = 0.438, validation accuracy = 0.53
Epoch (375, 2), loss = 0.438, validation accuracy = 0.53
Epoch (376, 2), loss = 0.438, validation accuracy = 0.53
Epoch (377, 2), loss = 0.437, validation accuracy = 0.53
Epoch (378, 2), loss = 0.437, validation accuracy = 0.53
Epoch (379, 2), loss = 0.437, validation accuracy = 0.53
Epoch (380, 2), loss = 0.437, validation accuracy = 0.53
Epoch (381, 2), loss = 0.437, validation accuracy = 0.53
Epoch (382, 2), loss = 0.437, validation accuracy = 0.53
Epoch (383, 2), loss = 0.437, validation accuracy = 0.53
Epoch (384, 2), loss = 0.437, validation accuracy = 0.53
Epoch (385, 2), loss = 0.437, validation accuracy = 0.53
Epoch (386, 2), loss = 0.437, validation accuracy = 0.53
Epoch (387, 2), loss = 0.437, validation accuracy = 0.53
Epoch (388, 2), loss = 0.437, validation accuracy = 0.53
Epoch (389, 2), loss = 0.437, validation accuracy = 0.53
Epoch (390, 2), loss = 0.437, validation accuracy = 0.53
Epoch (391, 2), loss = 0.437, validation accuracy = 0.53
Epoch (392, 2), loss = 0.437, validation accuracy = 0.53
Epoch (393, 2), loss = 0.436, validation accuracy = 0.53
Epoch (394, 2), loss = 0.436, validation accuracy = 0.53
Epoch (395, 2), loss = 0.436, validation accuracy = 0.53
Epoch (396, 2), loss = 0.436, validation accuracy = 0.53
Epoch (397, 2), loss = 0.436, validation accuracy = 0.53
Epoch (398, 2), loss = 0.436, validation accuracy = 0.53
Epoch (399, 2), loss = 0.436, validation accuracy = 0.53
Epoch (400, 2), loss = 0.436, validation accuracy = 0.53
Epoch (401, 2), loss = 0.436, validation accuracy = 0.53
Epoch (402, 2), loss = 0.436, validation accuracy = 0.53
Epoch (403, 2), loss = 0.436, validation accuracy = 0.53
Epoch (404, 2), loss = 0.436, validation accuracy = 0.53
Epoch (405, 2), loss = 0.436, validation accuracy = 0.53
Epoch (406, 2), loss = 0.436, validation accuracy = 0.53
Epoch (407, 2), loss = 0.436, validation accuracy = 0.53
Epoch (408, 2), loss = 0.436, validation accuracy = 0.53
Epoch (409, 2), loss = 0.435, validation accuracy = 0.53
Epoch (410, 2), loss = 0.435, validation accuracy = 0.53
Epoch (411, 2), loss = 0.435, validation accuracy = 0.53
Epoch (412, 2), loss = 0.435, validation accuracy = 0.53
Epoch (413, 2), loss = 0.435, validation accuracy = 0.53
